,carat,cut,color,clarity,depth,table,price,x,y,z,cut value,color value,clarity value
50,0.3,VERY GOOD,I,SI1,62.6,57.0,405,4.25,4.28,2.67,3,2,3
51,0.3,VERY GOOD,I,SI1,63.0,57.0,405,4.28,4.32,2.71,3,2,3
52,0.3,GOOD,I,SI1,63.2,55.0,405,4.25,4.29,2.7,2,2,3
53,0.35,IDEAL,I,VS1,60.9,57.0,552,4.54,4.59,2.78,5,2,5
54,0.3,PREMIUM,D,SI1,62.6,59.0,552,4.23,4.27,2.66,4,7,3
55,0.3,IDEAL,D,SI1,62.5,57.0,552,4.29,4.32,2.69,5,7,3
56,0.3,IDEAL,D,SI1,62.1,56.0,552,4.3,4.33,2.68,5,7,3
57,0.42,PREMIUM,I,SI2,61.5,59.0,552,4.78,4.84,2.96,4,2,2
58,0.28,IDEAL,G,VVS2,61.4,56.0,553,4.19,4.22,2.58,5,4,6
59,0.32,IDEAL,I,VVS1,62.0,55.3,553,4.39,4.42,2.73,5,2,7
60,0.31,VERY GOOD,G,SI1,63.3,57.0,553,4.33,4.3,2.73,3,4,3
61,0.31,PREMIUM,G,SI1,61.8,58.0,553,4.35,4.32,2.68,4,4,3
62,0.24,PREMIUM,E,VVS1,60.7,58.0,553,4.01,4.03,2.44,4,6,7
63,0.24,VERY GOOD,D,VVS1,61.5,60.0,553,3.97,4.0,2.45,3,7,7
64,0.3,VERY GOOD,H,SI1,63.1,56.0,554,4.29,4.27,2.7,3,3,3
65,0.3,PREMIUM,H,SI1,62.9,59.0,554,4.28,4.24,2.68,4,3,3
66,0.3,PREMIUM,H,SI1,62.5,57.0,554,4.29,4.25,2.67,4,3,3
67,0.3,GOOD,H,SI1,63.7,57.0,554,4.28,4.26,2.72,2,3,3
68,0.26,VERY GOOD,E,VVS2,59.9,58.0,554,4.15,4.23,2.51,3,6,6
69,0.26,VERY GOOD,D,VVS2,62.4,54.0,554,4.08,4.13,2.56,3,7,6
70,0.26,VERY GOOD,D,VVS2,62.8,60.0,554,4.01,4.05,2.53,3,7,6
71,0.26,VERY GOOD,E,VVS1,62.6,59.0,554,4.06,4.09,2.55,3,6,7
72,0.26,VERY GOOD,E,VVS1,63.4,59.0,554,4.0,4.04,2.55,3,6,7
73,0.26,VERY GOOD,D,VVS1,62.1,60.0,554,4.03,4.12,2.53,3,7,7
74,0.26,IDEAL,E,VVS2,62.9,58.0,554,4.02,4.06,2.54,5,6,6
75,0.38,IDEAL,I,SI2,61.6,56.0,554,4.65,4.67,2.87,5,2,2
76,0.26,GOOD,E,VVS1,57.9,60.0,554,4.22,4.25,2.45,2,6,7
77,0.24,PREMIUM,G,VVS1,62.3,59.0,554,3.95,3.92,2.45,4,4,7
78,0.24,PREMIUM,H,VVS1,61.2,58.0,554,4.01,3.96,2.44,4,3,7
79,0.24,PREMIUM,H,VVS1,60.8,59.0,554,4.02,4.0,2.44,4,3,7
80,0.24,PREMIUM,H,VVS2,60.7,58.0,554,4.07,4.04,2.46,4,3,6
81,0.32,PREMIUM,I,SI1,62.9,58.0,554,4.35,4.33,2.73,4,2,3
82,0.7,IDEAL,E,SI1,62.5,57.0,2757,5.7,5.72,3.57,5,6,3
83,0.86,FAIR,E,SI2,55.1,69.0,2757,6.45,6.33,3.52,1,6,2
84,0.7,IDEAL,G,VS2,61.6,56.0,2757,5.7,5.67,3.5,5,4,4
85,0.71,VERY GOOD,E,VS2,62.4,57.0,2759,5.68,5.73,3.56,3,6,4
86,0.78,VERY GOOD,G,SI2,63.8,56.0,2759,5.81,5.85,3.72,3,4,2
87,0.7,GOOD,E,VS2,57.5,58.0,2759,5.85,5.9,3.38,2,6,4
88,0.73,VERY GOOD,E,SI1,61.6,59.0,2760,5.77,5.78,3.56,3,6,3
89,0.8,PREMIUM,H,SI1,61.5,58.0,2760,5.97,5.93,3.66,4,3,3
90,0.75,VERY GOOD,D,SI1,63.2,56.0,2760,5.8,5.75,3.65,3,7,3
91,0.75,PREMIUM,E,SI1,59.9,54.0,2760,6.0,5.96,3.58,4,6,3
92,0.74,IDEAL,G,SI1,61.6,55.0,2760,5.8,5.85,3.59,5,4,3
93,0.75,PREMIUM,G,VS2,61.7,58.0,2760,5.85,5.79,3.59,4,4,4
94,0.8,IDEAL,I,VS1,62.9,56.0,2760,5.94,5.87,3.72,5,2,5
95,0.75,IDEAL,G,SI1,62.2,55.0,2760,5.87,5.8,3.63,5,4,3
96,0.8,PREMIUM,G,SI1,63.0,59.0,2760,5.9,5.81,3.69,4,4,3
97,0.74,IDEAL,I,VVS2,62.3,55.0,2761,5.77,5.81,3.61,5,2,6
98,0.59,IDEAL,E,VVS2,62.0,55.0,2761,5.38,5.43,3.35,5,6,6
99,0.74,IDEAL,E,SI2,62.2,56.0,2761,5.8,5.84,3.62,5,6,2
100,0.9,PREMIUM,I,VS2,63.0,58.0,2761,6.16,6.12,3.87,4,2,4
101,0.74,VERY GOOD,G,SI1,62.2,59.0,2762,5.73,5.82,3.59,3,4,3
102,0.71,IDEAL,G,VS2,62.4,54.0,2762,5.72,5.76,3.58,5,4,4
103,0.7,IDEAL,E,VS2,60.7,58.0,2762,5.73,5.76,3.49,5,6,4
104,0.71,IDEAL,D,SI2,62.3,56.0,2762,5.73,5.69,3.56,5,7,2
105,0.74,IDEAL,E,SI1,62.3,54.0,2762,5.8,5.83,3.62,5,6,3
106,0.91,PREMIUM,H,SI1,61.4,56.0,2763,6.09,5.97,3.7,4,3,3
107,0.61,VERY GOOD,D,VVS2,59.6,57.0,2763,5.56,5.58,3.32,3,7,6
108,0.91,FAIR,H,SI2,64.4,57.0,2763,6.11,6.09,3.93,1,3,2
109,0.91,FAIR,H,SI2,65.7,60.0,2763,6.03,5.99,3.95,1,3,2
110,0.77,IDEAL,H,VS2,62.0,56.0,2763,5.89,5.86,3.64,5,3,4
111,0.71,VERY GOOD,D,SI1,63.6,58.0,2764,5.64,5.68,3.6,3,7,3
112,0.71,IDEAL,D,SI1,61.9,59.0,2764,5.69,5.72,3.53,5,7,3
113,0.7,VERY GOOD,E,VS2,62.6,60.0,2765,5.62,5.65,3.53,3,6,4
114,0.77,VERY GOOD,H,VS1,61.3,60.0,2765,5.88,5.9,3.61,3,3,5
115,0.63,PREMIUM,E,VVS1,60.9,60.0,2765,5.52,5.55,3.37,4,6,7
116,0.76,IDEAL,H,SI1,61.2,57.0,2765,5.88,5.91,3.61,5,3,3
117,0.64,IDEAL,G,VVS1,61.9,56.0,2766,5.53,5.56,3.43,5,4,7
118,0.71,PREMIUM,G,VS2,60.9,57.0,2766,5.78,5.75,3.51,4,4,4
119,0.71,PREMIUM,G,VS2,59.8,56.0,2766,5.89,5.81,3.5,4,4,4
120,0.7,VERY GOOD,D,VS2,61.8,55.0,2767,5.68,5.72,3.52,3,7,4
121,0.71,IDEAL,D,SI2,61.6,55.0,2767,5.74,5.76,3.54,5,7,2
122,0.7,GOOD,H,VVS2,62.1,64.0,2767,5.62,5.65,3.5,2,3,6
123,0.71,VERY GOOD,G,VS1,63.3,59.0,2768,5.52,5.61,3.52,3,4,5
124,0.73,VERY GOOD,D,SI1,60.2,56.0,2768,5.83,5.87,3.52,3,7,3
125,0.7,VERY GOOD,D,SI1,61.1,58.0,2768,5.66,5.73,3.48,3,7,3
126,0.7,IDEAL,E,SI1,60.9,57.0,2768,5.73,5.76,3.5,5,6,3
127,0.71,PREMIUM,D,SI2,61.7,59.0,2768,5.71,5.67,3.51,4,7,2
128,0.74,IDEAL,I,SI1,61.3,56.0,2769,5.82,5.86,3.57,5,2,3
129,0.71,PREMIUM,D,VS2,62.5,60.0,2770,5.65,5.61,3.52,4,7,4
130,0.73,PREMIUM,G,VS2,61.4,59.0,2770,5.83,5.76,3.56,4,4,4
131,0.76,IDEAL,D,SI2,62.4,57.0,2770,5.78,5.83,3.62,5,7,2
132,0.73,PREMIUM,G,VS2,60.7,58.0,2770,5.87,5.82,3.55,4,4,4
133,0.73,PREMIUM,G,VS1,61.5,58.0,2770,5.79,5.75,3.55,4,4,5
134,0.73,IDEAL,D,SI2,59.9,57.0,2770,5.92,5.89,3.54,5,7,2
135,0.73,PREMIUM,G,VS2,59.2,59.0,2770,5.92,5.87,3.49,4,4,4
136,0.72,VERY GOOD,H,VVS2,60.3,56.0,2771,5.81,5.83,3.51,3,3,6
137,0.71,IDEAL,G,VS2,61.9,57.0,2771,5.73,5.77,3.56,5,4,4
138,0.73,VERY GOOD,H,VVS1,60.4,59.0,2772,5.83,5.89,3.54,3,3,7
139,0.58,IDEAL,G,VVS1,61.5,55.0,2772,5.39,5.44,3.33,5,4,7
140,0.71,GOOD,E,VS2,59.2,61.0,2772,5.8,5.88,3.46,2,6,4
141,0.75,IDEAL,D,SI2,61.3,56.0,2773,5.85,5.89,3.6,5,7,2
142,0.7,PREMIUM,D,VS2,58.0,62.0,2773,5.87,5.78,3.38,4,7,4
143,1.17,VERY GOOD,J,I1,60.2,61.0,2774,6.83,6.9,4.13,3,1,1
144,0.6,IDEAL,E,VS1,61.7,55.0,2774,5.41,5.44,3.35,5,6,5
145,0.7,IDEAL,E,SI1,62.7,55.0,2774,5.68,5.74,3.58,5,6,3
146,0.83,GOOD,I,VS2,64.6,54.0,2774,5.85,5.88,3.79,2,2,4
147,0.72,VERY GOOD,G,VS2,63.7,56.4,2776,5.62,5.69,3.61,3,4,4
148,0.71,PREMIUM,E,VS2,62.7,58.0,2776,5.74,5.68,3.58,4,6,4
149,0.71,IDEAL,E,VS2,62.2,57.0,2776,5.79,5.62,3.55,5,6,4
150,0.54,IDEAL,E,VVS2,61.6,56.0,2776,5.25,5.27,3.24,5,6,6
151,0.54,IDEAL,E,VVS2,61.5,57.0,2776,5.24,5.26,3.23,5,6,6
152,0.72,IDEAL,G,SI1,61.8,56.0,2776,5.72,5.75,3.55,5,4,3
153,0.72,IDEAL,G,SI1,60.7,56.0,2776,5.79,5.82,3.53,5,4,3
154,0.72,GOOD,G,VS2,59.7,60.5,2776,5.8,5.84,3.47,2,4,4
155,0.71,IDEAL,G,SI1,60.5,56.0,2776,5.8,5.76,3.5,5,4,3
156,0.7,VERY GOOD,D,VS1,62.7,58.0,2777,5.66,5.73,3.57,3,7,5
157,0.7,IDEAL,E,VS2,62.1,55.0,2777,5.7,5.67,3.53,5,6,4
158,0.7,PREMIUM,E,VS2,61.1,60.0,2777,5.71,5.64,3.47,4,6,4
159,0.7,PREMIUM,E,SI1,60.0,59.0,2777,5.79,5.75,3.46,4,6,3
160,0.7,PREMIUM,E,SI1,61.2,57.0,2777,5.73,5.68,3.49,4,6,3
161,0.7,PREMIUM,E,SI1,62.7,59.0,2777,5.67,5.63,3.54,4,6,3
162,0.7,PREMIUM,E,SI1,61.0,57.0,2777,5.73,5.68,3.48,4,6,3
163,0.7,PREMIUM,E,SI1,61.0,58.0,2777,5.78,5.72,3.51,4,6,3
164,0.7,IDEAL,E,SI1,61.4,57.0,2777,5.76,5.7,3.52,5,6,3
165,0.7,VERY GOOD,E,SI1,59.9,63.0,2777,5.76,5.7,3.43,3,6,3
166,0.7,PREMIUM,E,SI1,61.3,58.0,2777,5.71,5.68,3.49,4,6,3
167,0.7,PREMIUM,E,SI1,60.5,58.0,2777,5.77,5.74,3.48,4,6,3
168,0.7,GOOD,E,VS2,64.1,59.0,2777,5.64,5.59,3.6,2,6,4
169,0.98,FAIR,H,SI2,67.9,60.0,2777,6.05,5.97,4.08,1,3,2
170,0.7,VERY GOOD,E,SI1,63.2,60.0,2777,5.6,5.51,3.51,3,6,3
171,0.73,VERY GOOD,H,VS2,60.8,56.0,2779,5.82,5.84,3.55,3,3,4
172,0.74,IDEAL,E,SI1,61.7,56.0,2779,5.84,5.8,3.59,5,6,3
173,0.77,PREMIUM,G,VS2,61.2,58.0,2780,5.9,5.93,3.62,4,4,4
174,0.74,IDEAL,G,VS1,61.5,55.0,2780,5.81,5.86,3.59,5,4,5
175,0.7,IDEAL,G,VS1,61.4,59.0,2780,5.64,5.73,3.49,5,4,5
176,0.77,IDEAL,H,SI1,62.2,56.0,2781,5.83,5.88,3.64,5,3,3
177,0.78,IDEAL,H,SI1,61.2,56.0,2781,5.92,5.99,3.64,5,3,3
178,0.72,VERY GOOD,H,VS1,60.6,63.0,2782,5.83,5.76,3.51,3,3,5
179,0.53,VERY GOOD,D,VVS2,57.5,64.0,2782,5.34,5.37,3.08,3,7,6
180,0.76,IDEAL,G,VS2,61.3,56.0,2782,5.9,5.94,3.63,5,4,4
181,0.7,GOOD,E,VS1,57.2,62.0,2782,5.81,5.77,3.31,2,6,5
182,0.7,PREMIUM,E,VS1,62.9,60.0,2782,5.62,5.54,3.51,4,6,5
183,0.75,VERY GOOD,D,SI2,63.1,58.0,2782,5.78,5.73,3.63,3,7,2
184,0.72,IDEAL,D,SI1,60.8,57.0,2782,5.76,5.75,3.5,5,7,3
185,0.72,PREMIUM,D,SI1,62.7,59.0,2782,5.73,5.69,3.58,4,7,3
186,0.7,PREMIUM,D,SI1,62.8,60.0,2782,5.68,5.66,3.56,4,7,3
187,0.84,FAIR,G,SI1,55.1,67.0,2782,6.39,6.2,3.47,1,4,3
188,0.79,VERY GOOD,H,VS1,63.7,56.0,2784,5.85,5.92,3.75,3,3,5
189,0.64,IDEAL,D,VS1,61.5,56.0,2787,5.54,5.55,3.41,5,7,5
190,0.7,VERY GOOD,H,VVS1,60.5,60.0,2788,5.74,5.77,3.48,3,3,7
191,0.83,VERY GOOD,I,VS1,61.1,60.0,2788,6.07,6.1,3.72,3,2,5
192,0.76,IDEAL,I,VVS2,61.8,56.0,2788,5.85,5.87,3.62,5,2,6
193,0.71,GOOD,D,VS2,63.3,56.0,2788,5.64,5.68,3.58,2,7,4
194,0.77,GOOD,G,VS1,59.4,64.0,2788,5.97,5.92,3.53,2,4,5
195,1.01,FAIR,E,I1,64.5,58.0,2788,6.29,6.21,4.03,1,6,1
196,1.01,PREMIUM,H,SI2,62.7,59.0,2788,6.31,6.22,3.93,4,3,2
197,0.76,GOOD,E,SI1,63.7,54.0,2789,5.76,5.85,3.7,2,6,3
198,0.76,PREMIUM,E,SI1,60.4,58.0,2789,5.92,5.94,3.58,4,6,3
199,0.76,PREMIUM,E,SI1,61.8,58.0,2789,5.82,5.86,3.61,4,6,3
200,1.05,VERY GOOD,J,SI2,63.2,56.0,2789,6.49,6.45,4.09,3,1,2
201,0.81,IDEAL,G,SI2,61.6,56.0,2789,5.97,6.01,3.69,5,4,2
202,0.7,IDEAL,E,SI1,61.6,56.0,2789,5.72,5.75,3.53,5,6,3
203,0.55,IDEAL,G,IF,60.9,57.0,2789,5.28,5.3,3.22,5,4,8
204,0.81,GOOD,G,SI2,61.0,61.0,2789,5.94,5.99,3.64,2,4,2
205,0.63,PREMIUM,E,VVS2,62.1,57.0,2789,5.48,5.41,3.38,4,6,6
206,0.63,PREMIUM,E,VVS1,60.9,60.0,2789,5.55,5.52,3.37,4,6,7
207,0.77,PREMIUM,H,VS1,61.3,60.0,2789,5.9,5.88,3.61,4,3,5
208,1.05,FAIR,J,SI2,65.8,59.0,2789,6.41,6.27,4.18,1,1,2
209,0.64,IDEAL,G,IF,61.3,56.0,2790,5.54,5.58,3.41,5,4,8
210,0.76,PREMIUM,I,VVS1,58.8,59.0,2790,6.0,5.94,3.51,4,2,7
211,0.87,VERY GOOD,I,SI1,63.6,55.8,2791,6.07,6.1,3.87,3,2,3
212,0.73,IDEAL,E,SI1,62.2,56.0,2791,5.74,5.78,3.58,5,6,3
213,0.71,PREMIUM,E,SI1,59.2,59.0,2792,5.83,5.86,3.46,4,6,3
214,0.71,PREMIUM,E,SI1,61.8,59.0,2792,5.7,5.75,3.54,4,6,3
215,0.71,IDEAL,E,SI1,61.3,55.0,2792,5.72,5.77,3.52,5,6,3
216,0.76,PREMIUM,H,VVS2,59.6,57.0,2792,5.91,5.86,3.51,4,3,6
217,0.79,VERY GOOD,G,SI1,60.6,57.0,2793,5.98,6.06,3.65,3,4,3
218,0.7,VERY GOOD,E,VS2,62.9,57.0,2793,5.66,5.69,3.57,3,6,4
219,0.7,GOOD,E,VS2,64.1,55.0,2793,5.6,5.66,3.61,2,6,4
220,0.76,IDEAL,I,VS2,61.3,56.0,2793,5.87,5.91,3.61,5,2,4
221,0.73,IDEAL,H,VS2,62.7,55.0,2793,5.72,5.76,3.6,5,3,4
222,0.79,VERY GOOD,E,SI1,63.2,56.0,2794,5.91,5.86,3.72,3,6,3
223,0.71,VERY GOOD,E,VS2,60.7,56.0,2795,5.81,5.82,3.53,3,6,4
224,0.81,PREMIUM,I,VVS2,61.9,60.0,2795,5.91,5.86,3.64,4,2,6
225,0.72,PREMIUM,D,SI2,62.0,60.0,2795,5.73,5.69,3.54,4,7,2
226,0.72,PREMIUM,I,IF,63.0,57.0,2795,5.72,5.7,3.6,4,2,8
227,0.81,PREMIUM,H,VS2,58.0,59.0,2795,6.17,6.13,3.57,4,3,4
228,0.72,PREMIUM,G,VS2,62.9,57.0,2795,5.73,5.65,3.58,4,4,4
229,1.0,PREMIUM,I,SI2,58.2,60.0,2795,6.61,6.55,3.83,4,2,2
230,0.73,GOOD,E,SI1,63.2,58.0,2796,5.7,5.76,3.62,2,6,3
231,0.81,VERY GOOD,H,SI2,61.3,59.0,2797,5.94,6.01,3.66,3,3,2
232,0.81,VERY GOOD,E,SI1,60.3,60.0,2797,6.07,6.1,3.67,3,6,3
233,0.71,PREMIUM,D,SI1,62.7,60.0,2797,5.67,5.71,3.57,4,7,3
234,0.71,PREMIUM,D,SI1,61.3,58.0,2797,5.73,5.75,3.52,4,7,3
235,0.71,PREMIUM,D,SI1,61.6,60.0,2797,5.74,5.69,3.52,4,7,3
236,0.51,IDEAL,D,VVS1,61.7,56.0,2797,5.12,5.16,3.17,5,7,7
237,0.72,IDEAL,G,VS2,61.9,58.0,2797,5.72,5.75,3.55,5,4,4
238,0.74,IDEAL,H,VS1,61.8,58.0,2797,5.77,5.81,3.58,5,3,5
239,0.74,IDEAL,H,VS1,61.6,56.0,2797,5.81,5.82,3.58,5,3,5
240,0.7,FAIR,G,VVS1,58.8,66.0,2797,5.81,5.9,3.44,1,4,7
241,1.01,FAIR,E,SI2,67.4,60.0,2797,6.19,6.05,4.13,1,6,2
242,0.8,VERY GOOD,H,VS2,63.4,60.0,2797,5.92,5.82,3.72,3,3,4
243,0.77,IDEAL,I,VS1,61.5,59.0,2798,5.87,5.91,3.62,5,2,5
244,0.83,VERY GOOD,E,SI2,58.0,62.0,2799,6.19,6.25,3.61,3,6,2
245,0.78,IDEAL,D,SI1,61.9,57.0,2799,5.91,5.86,3.64,5,7,3
246,0.6,VERY GOOD,G,IF,61.6,56.0,2800,5.43,5.46,3.35,3,4,8
247,0.9,GOOD,I,SI2,62.2,59.0,2800,6.07,6.11,3.79,2,2,2
248,0.7,PREMIUM,E,VS1,62.2,58.0,2800,5.6,5.66,3.5,4,6,5
249,0.9,VERY GOOD,I,SI2,61.3,56.0,2800,6.17,6.23,3.8,3,2,2
250,0.83,IDEAL,G,SI1,62.3,57.0,2800,5.99,6.08,3.76,5,4,3
251,0.83,IDEAL,G,SI1,61.8,57.0,2800,6.03,6.07,3.74,5,4,3
252,0.83,VERY GOOD,H,SI1,62.5,59.0,2800,5.95,6.02,3.74,3,3,3
253,0.74,PREMIUM,G,VS1,62.9,60.0,2800,5.74,5.68,3.59,4,4,5
254,0.79,IDEAL,I,VS1,61.8,59.0,2800,5.92,5.95,3.67,5,2,5
255,0.61,IDEAL,G,IF,62.3,56.0,2800,5.43,5.45,3.39,5,4,8
256,0.76,FAIR,G,VS1,59.0,70.0,2800,5.89,5.8,3.46,1,4,5
257,0.75,IDEAL,H,SI1,60.4,57.0,2801,5.93,5.96,3.59,5,3,3
258,1.04,PREMIUM,G,I1,62.2,58.0,2801,6.46,6.41,4.0,4,4,1
259,1.0,PREMIUM,J,SI2,62.3,58.0,2801,6.45,6.34,3.98,4,1,2
260,0.87,VERY GOOD,G,SI2,59.9,58.0,2802,6.19,6.23,3.72,3,4,2
261,0.72,PREMIUM,E,VS2,63.0,55.0,2802,5.79,5.61,3.59,4,6,4
262,0.74,VERY GOOD,E,SI1,63.5,56.0,2803,5.74,5.79,3.66,3,6,3
263,0.71,IDEAL,G,VS2,61.3,56.0,2803,5.75,5.71,3.51,5,4,4
264,0.73,IDEAL,E,SI1,60.6,54.0,2803,5.84,5.89,3.55,5,6,3
265,0.7,GOOD,G,VS1,65.1,58.0,2803,5.56,5.59,3.63,2,4,5
266,0.71,PREMIUM,G,VS1,62.4,61.0,2803,5.7,5.65,3.54,4,4,5
267,0.77,PREMIUM,G,VS2,61.3,57.0,2803,5.93,5.88,3.62,4,4,4
268,0.71,PREMIUM,G,VS2,59.9,60.0,2803,5.81,5.77,3.47,4,4,4
269,0.78,PREMIUM,G,VS2,60.8,58.0,2803,6.03,5.95,3.64,4,4,4
270,0.71,VERY GOOD,G,VS1,63.5,55.0,2803,5.66,5.64,3.59,3,4,5
271,0.91,IDEAL,D,SI2,62.2,57.0,2803,6.21,6.15,3.85,5,7,2
272,0.71,VERY GOOD,E,VS2,63.8,58.0,2804,5.62,5.66,3.6,3,6,4
273,0.71,VERY GOOD,E,VS2,64.0,57.0,2804,5.66,5.68,3.63,3,6,4
274,0.8,VERY GOOD,E,SI2,62.5,56.0,2804,5.88,5.96,3.7,3,6,2
275,0.7,VERY GOOD,D,SI1,62.3,58.0,2804,5.69,5.73,3.56,3,7,3
276,0.82,IDEAL,H,VS2,61.5,56.0,2804,6.01,6.08,3.72,5,3,4
277,0.7,IDEAL,D,SI1,61.0,59.0,2804,5.68,5.7,3.47,5,7,3
278,0.72,IDEAL,D,SI1,62.2,56.0,2804,5.74,5.77,3.58,5,7,3
279,0.72,IDEAL,D,SI1,61.5,54.0,2804,5.77,5.8,3.56,5,7,3
280,0.9,FAIR,I,SI1,67.3,59.0,2804,5.93,5.84,3.96,1,2,3
281,0.73,IDEAL,E,SI2,61.8,58.0,2805,5.77,5.81,3.58,5,6,2
282,0.57,FAIR,E,VVS1,58.7,66.0,2805,5.34,5.43,3.16,1,6,7
283,0.72,IDEAL,G,VS2,62.8,56.0,2805,5.74,5.7,3.59,5,4,4
284,0.82,GOOD,G,VS2,64.0,57.0,2805,5.92,5.89,3.78,2,4,4
285,0.81,VERY GOOD,G,SI1,62.5,60.0,2806,5.89,5.94,3.69,3,4,3
286,0.75,VERY GOOD,H,VVS1,60.6,58.0,2806,5.85,5.9,3.56,3,3,7
287,0.93,PREMIUM,J,SI2,61.9,57.0,2807,6.21,6.19,3.84,4,1,2
288,0.8,VERY GOOD,H,VS2,62.8,57.0,2808,5.87,5.91,3.7,3,3,4
289,1.0,FAIR,G,I1,66.4,59.0,2808,6.16,6.09,4.07,1,4,1
290,0.75,VERY GOOD,G,VS2,63.4,56.0,2808,5.78,5.74,3.65,3,4,4
291,0.58,IDEAL,E,VVS2,60.9,56.0,2808,5.41,5.43,3.3,5,6,6
292,0.73,VERY GOOD,D,SI1,63.1,57.0,2808,5.74,5.7,3.61,3,7,3
